MARCA,SECTOR / PRODUCTO,INTERNO IVR,INTERNO OPERADOR,TELEFONO,TELEFONO INTERIOR,TELEFONO EXTERIOR,OBSERVACIONES / PRESTADOR
Amex,Santander Green,2639,6455,4379-2639,0810-333-2639,"54-11-4379-2639 (desde el exterior, con cobro revertido)",
Amex,Santander Gold,2639,6455,4379-2639,0810-333-2639,"54-11-4379-2639 (desde el exterior, con cobro revertido)",
Amex,Green (resto de los Bancos),,6466,4379-2400,0810-222-2401,"54-11-4379-2400 (desde el exterior, con cobro revertido)",
Amex,Gold (resto de los Bancos),,6466,4379-2500,0810-333-2501,"54-11-4379-2500 (desde el exterior, con cobro revertido)",
Amex,Platinum,2700,4017,0800-333-0700 / 4379-2700,,"(54-11) 4379-2700 (desde el exterior, con cobro revertido)",
Amex,Santander Black,,6415,4378-8310,,"(54-11) 4378-8310 (desde el exterior, con cobro revertido)",
Amex,Galicia Black,,6415,0800-999-3646,,"(54-11) 4379-6330 (desde el exterior, con cobro revertido)",
Amex,Express Plan (Financiacion),3462,6199 (Classic y Gold) / 670174 (Up Scale Experto) / 670175 (Platinum Experto),0810-666-2100,,,Orden de derivacion: ALTAS - 1) IVR. 2) Operador. BAJA / CANCELACION: 1) Operador.
Amex,Denuncias,,6422,4379-2300,0810-999-2300,(54-11) 4379-2300,Extravio o robo de tarjeta de credito o debito.
Amex,Habilitaciones Santander,,,4379-2639,,,
Amex,Habilitaciones Resto de los Bancos,,,4379-2400 (Green) / 4379-2500 (Gold) 0800-333-0700 / 4379-2700 (Platinum),,,
Amex,Rellamadores,,3278,,,,Cuando realices una transferencia al sector de Rellamadores es obligatorio aguardar a ser atendido e informar los datos del socio.
Amex,Platinum - Concierge Personal - Banco Galicia,,#3039,0800-333-0323,,(54-11) 4379-6320 (llamada por cobro revertido),AXA Assistance. info@galiciaconcierge.com.ar
Amex,Platinum - Concierge Personal - Banco Santander,,#3039,0800-222-3643,,(54-11) 4378-5929 (cobro revertido),AXA Assistance
Amex,Platinum - Concierge Personal - Banco HSBC,,#3039,0-800-222-4100,,(54-11) 4379-6370 (llamada por cobro revertido),
Amex,Galicia Black - Concierge Personal,,#3039,0800-333-0323,,(54-11) 4379-6320 (llamada por cobro revertido).,
Amex,Asistencia en Viajes - Venta Directa,,#3020,Galicia: 0810-555-5555 / Santander: 0810-888-8008 / Macro: 0810-888-0203 / HSBC: 0810-444-6789 / Patagonia: 0810-999-0914,,,
Amex,Asistencia en Viajes - Activacion desde Argentina,,#3300,Galicia: 0800-555-2747 / Santander: 0800-777-0088 / Macro: 0800-444-2854 / HSBC: 0800-444-2030 / Patagonia: 0800-999-6850,,,
Amex,Asistencia en Viajes - Activacion desde el exterior,,#3300,,,Galicia: (54 11) 4379-1020 / Santander: (54 11) 4379-1030 / Macro: (54 11) 4379-1060 / HSBC: (54 11) 4379-1050 / Patagonia: (54 11) 4379- 1080 / Numero generico: (54 11) 4379-1090 / Solicitar cobro revertido a la operadora.,
Amex,Seguros y/o servicios AMEX.,,Los socios deben contactarse con American Express o con el Banco emisor.,,,,Seguro por Perdida de Conexion de Vuelo. Seguro de Demora en Vuelo. Seguro de Perdida de Equipaje. Seguro de Demora de Equipaje. Seguro de Compras. Seguro de Precio Protegido. Seguro de Garantia Extendida. Seguro de Automoviles Alquilados. Seguro de Accidentes en Viaje. Acceso a Salas VIP. Aeropuertos VIP Club. Travel & Living. Direccion Postal USA. Programa Agencia de Viaje. Programa Selects. Programa Restaurantes. Pasaporte American Express. Entre.
Amex,Santander Black - Centro de Atencion Exclusivo,,,"Argentina: 0800-222-1287, de lunes a viernes de 8.00 a 21.00 hs. y sabados de 9.00 a 18.00 hs.",,"Exterior: (54-11) 4341-3079, de lunes a viernes de 8.00 a 21.00 hs. y sabados de 9.00 a 18.00 hs. (solicitar a la operadora el cobro revertido de la llamada) / (54-11) 4345-2406, de lunes a viernes de 8.00 a 21.00 hs. y sabados de 9.00 a 18.00 hs. (solicitar a la operadora el cobro revertido)",Telefono de atencion propio de Banco Santander.
Amex,American Express (Amex pura),,,Denuncias: 0-810-555-2639 (Classic); 0-810-444-4653 (Gold); 0-810-555-2639 (Platinum),,,Telefono de atencion propio de American Express.
Amex,Atencion a Establecimientos (Comercios),,,0810-555-0500,,,Telefono de atencion propio de American Express.
Amex,Centro de Autorizaciones,,,0810-555-8000,,,Telefono de atencion propio de American Express.
Mastercard,Classic (Estandar) BBVA (117) / Santander (172) / Comafi (199),7763,,4379-7763,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199)
Mastercard,Gold BBVA (117) / Santander (172) / Comafi (199),7764,,4379-7764,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199)
Mastercard,Platinum BBVA (117) / Santander (172) / Comafi (199),7765,661393,4379-7765,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
Mastercard,Black BBVA (117) / Santander (172) / Comafi (199),7766,661421,4379-7766,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
Mastercard,Call Collect Santander (172) / Comafi (199),7744,,,,54-11-4379-7744 (Call Collect),Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
Mastercard,Denuncias Santander (172) / Comafi (199),5488,,4379-5488,,,Telefono de atencion en nuestro Centro de Servicios para Mastercard Santander (172) y Mastercard Comafi (199).
