BANCO,PAGINA WEB DEL BANCO,TELEFONO,LINEA 0800
(007 - Visa / 607 - Amex) Galicia,www.galicia.ar,Fonobanco Galicia: 0810-444-6500 para todo el país.,0800-888-4254
(014) Banco Provincia de Buenos Aires (BAPRO),www.bancoprovincia.com.ar,0810-222-2776 / (54 11) 4103-9001 (desde el exterior),
(015) ICBC,www.icbc.com.ar,0810-444-4652 / 4820-2021 / 0810-444-5463,0800-777-7465
(017) BBVA,www.bbva.com.ar,0810-333-0303 / 4346-4800,0800-333-0303
(027 - 297) Supervielle,www.supervielle.com.ar,Banca Telefonica: 0810-333-4959 / Jubilados: 0810-222-2639,
(034 - Visa / 634 - Amex) Patagonia,www.bancopatagonia.com.ar,0810-888-8500 / 4316-8500,0800-777-8500
(044) Banco Hipotecario,www.hipotecario.com.ar,0810-222-7777,
(045) Banco San Juan,www.bancosanjuan.com,0264-4291316,0800-888-8275
(059) Banco Entre Rios,www.bancoentrerios.com.ar,(0343) 4218670 - 4218049 / 0810-444-9362,
(060) Banco del Tucuman,www.macro.com.ar,0381-4503300 / 0810-888-3300,
(067 - Visa / 667 Amex) Macro,www.macro.com.ar,0810-555-2355 / 4317-7700,0810-555-2355
(072 - Visa / 172 - Mastercard / 472 - Amex) Banco Santander,www.santander.com.ar,4345-2400 / 0810-333-2400 (desde el interior) / (54 11) 4345-2400 (desde el exterior con costo),
(077) Compania Financiera Argentina (Efectivo Si),www.efectivosi.com.ar,(011) 4348-9999 / Interior 0810-222-9247,0800-222-0006
(086) Banco Santa Cruz,www.bancosantacruz.com,02966-422281,
(150 - Visa / 650- Amex) HSBC,www.hsbc.com.ar,4329-5000 / 0810-333-4722 / 0800-999-7736,0800-333-0003
(191) Banco Credicoop,www.bancocredicoop.coop,4320-5000 / 4394-0105 / Promociones: 4328-4444 (8 a 20 h.),0810-888-4500
(225) Credial (GRAMIT SA),www.credial.com.ar,0810-122-5522,
(259) Macro BMA,www.macrobma.com.ar,0810-345-4999 / (54 11) 5277-1400 (desde el exterior),0800-999-4828
(277) Banco Saenz,www.bancosaenz.com.ar,5277-3701,
(199 - 299) Banco Comafi,www.comafi.com.ar,0810-999-2662,0800-999-2662
(301) Banco Piano,www.bancopiano.com.ar,0810-122-2770,
